code;product_name;alcohol_100g;brands;main_category;categories;address;manufacturing_places;image_front_url
40477114;Alpirsbacher Special Klosterbrau;5.4;Alpirsbacher;Abbaye;Bière Blonde;Alpirsbach, Baden-Württemberg Germany;Allemagne;https://static.openfoodfacts.org/images/products/40477114/front_fr.4.400.jpg
40477756;Kloster Helles;5.1;Alpirsbacher;Lager;Bière Blonde;Alpirsbach, Baden-Württemberg Germany;Allemagne;https://static.openfoodfacts.org/images/products/40477756/front_en.3.400.jpg
8034013025028;Midòna;6.5;Amarcord;Ale;Bière Blonde;Rimini, RN Italy;Italie;https://static.openfoodfacts.org/images/products/803/401/302/5028/front_fr.5.400.jpg
8034013025035;Volpina;6.5;Amarcord;Ale;Bière Rousse;Rimini, RN Italy;Italie;https://static.openfoodfacts.org/images/products/803/401/302/5035/front_fr.5.400.jpg
8410700001573;Ambar Especial;4.8;La Zaragozana;Ale;Bière Blonde;Zaragoza, Spain;Espagne;https://static.openfoodfacts.org/images/products/841/070/000/1573/front_fr.4.400.jpg
8410700002242;Ambar Export Tres Maltas;7;La Zaragozana;Lager;Bière Ambrée;Zaragoza, Spain;Espagne;https://static.openfoodfacts.org/images/products/841/070/000/2242/front_es.3.400.jpg
8410700004703;Ambar Ipa;5.2;La Zaragozana;IPA;Bière Blonde;Zaragoza, Spain;Espagne;https://static.openfoodfacts.org/images/products/841/070/000/4703/front_es.3.400.jpg
8410700003829;Ambar Radler;2.5;La Zaragozana;Lager;Bière Aromatisée;Zaragoza, Spain;Espagne;https://static.openfoodfacts.org/images/products/841/070/000/3829/front_es.3.400.jpg
8410569005651;Amstel Aguila Beer;5;Amstel;Lager;Bière Blonde;Zoeterwoude, Zuid-Holland Netherlands;Pays-Bas;https://static.openfoodfacts.org/images/products/841/056/900/5651/front_es.6.400.jpg
7289440;Amstel Light;3.5;Amstel;Lager;Bière Blonde;Zoeterwoude, Zuid-Holland Netherlands;Pays-Bas;https://static.openfoodfacts.org/images/products/07289440/front_en.8.400.jpg
8410569615614;Amstel Radler;2;Amstel;Lager;Bière Aromatisée;Zoeterwoude, Zuid-Holland Netherlands;Pays-Bas;https://static.openfoodfacts.org/images/products/841/056/961/5614/front_es.21.400.jpg
5410218005769;Diabolici Blond Of Hell;8;Anthony Martin;Ale;Bière Blonde;Rue du cerf 191, 1332 Genval Belgium;Belgique;https://static.openfoodfacts.org/images/products/541/021/800/5769/front_fr.5.400.jpg
5410218410006;Dominus Double;6.5;Anthony Martin;Abbaye;Bière Ambrée;Rue du cerf 191, 1332 Genval Belgium;Belgique;https://static.openfoodfacts.org/images/products/541/021/841/0006/front_fr.7.400.jpg
4005154008007;Schloss Dunkel;5.2;Arcobräu;Lager;Bière Brune;Moos, Bayern Germany;Allemagne;https://static.openfoodfacts.org/images/products/400/515/400/8007/front_de.6.400.jpg
4005154101203;Zwicklbier;5.2;Arcobräu;Lager;Bière Blonde;Moos, Bayern Germany;Allemagne;https://static.openfoodfacts.org/images/products/400/515/410/1203/front_de.6.400.jpg
3770001082257;Isabeau Bavarian Pale Ale;6;Artemus;Pale Ale;Bière Blonde;Vincennes, Val-de-Marne France;France;https://static.openfoodfacts.org/images/products/377/000/108/2257/front_fr.10.400.jpg
3770001082240;La Petite Mademoiselle Blonde Ale;4.5;Artemus;Ale;Bière Blonde;Vincennes, Val-de-Marne France;France;https://static.openfoodfacts.org/images/products/377/000/108/2240/front_fr.5.400.jpg
38766651334;Asahi Kuronama;5;Asahi;Lager;Bière Brune;Sumida-ku, Tokyo Japan;Japon;https://static.openfoodfacts.org/images/products/003/876/665/1334/front_en.7.400.jpg
5060006410024;Asahi Super Dry;5.2;Asahi;Lager;Bière Blonde;Sumida-ku, Tokyo Japan;Japon;https://static.openfoodfacts.org/images/products/506/000/641/0024/front_fr.10.400.jpg
4028268012012;Asgaard Das Göttliche;4.8;Asgaard;Lager;Bière Blonde;Schleswig-Holstein, Germany;Allemagne;https://static.openfoodfacts.org/images/products/402/826/801/2012/front_de.7.400.jpg
4028268011015;Asgaard Premium Pils;4.8;Asgaard;Pils;Bière Blonde;Schleswig-Holstein, Germany;Allemagne;https://static.openfoodfacts.org/images/products/402/826/801/1015/front_de.7.400.jpg
42221364;Arschkalt;5.9;Astra;Lager;Bière Blonde;Hamburg, Germany;Allemagne;https://static.openfoodfacts.org/images/products/42221364/front_en.3.400.jpg
42278177;Kiezmische;2.5;Astra;Lager;Bière Aromatisée;Hamburg, Germany;Allemagne;https://static.openfoodfacts.org/images/products/42278177/front_de.3.400.jpg
4101010002209;Premium Bier;4.9;Astra;Pils;Bière Blonde;Hamburg, Germany;Allemagne;https://static.openfoodfacts.org/images/products/410/101/000/2209/front_de.4.400.jpg
42140962;Rotlicht;6;Astra;Lager;Bière Rousse;Hamburg, Germany;Allemagne;https://static.openfoodfacts.org/images/products/42140962/front_de.5.400.jpg
42278153;Urtyp;4.9;Astra;Pils;Bière Blonde;Hamburg, Germany;Allemagne;https://static.openfoodfacts.org/images/products/42278153/front_de.6.400.jpg
8725000647346;Intense;9;Atlas;Lager;Bière Blonde;Pays-Bas;Pays-Bas;https://static.openfoodfacts.org/images/products/872/500/064/7346/front_fr.8.400.jpg
3596710451531;Sterling Bière Blonde Extra Forte;8;Auchan;Ale;Bière Blonde;France;France;https://static.openfoodfacts.org/images/products/359/671/045/1531/front_fr.3.400.jpg
3596710359493;Sterling Premium;5.5;Auchan;Lager;Bière Blonde;France;France;https://static.openfoodfacts.org/images/products/359/671/035/9493/front_fr.8.400.jpg
4105250024007;Augustiner Edelstoff;5.6;Augustiner;Lager;Bière Blonde;Munich, Bayern Germany;Allemagne;https://static.openfoodfacts.org/images/products/410/525/002/4007/front_de.4.400.jpg
4105250022003;Lagerbier Hell;5.2;Augustiner;Lager;Bière Blonde;Munich, Bayern Germany;Allemagne;https://static.openfoodfacts.org/images/products/410/525/002/2003/front_en.4.400.jpg
5010548004281;Firkin Fox;4.6;Badger;Ale;Bière Ambrée;Blandford St Mary, Dorset England;Angleterre;https://static.openfoodfacts.org/images/products/501/054/800/4281/front_en.6.400.jpg
5010548002171;Fursty Ferret;4.4;Badger;Ale;Bière Blonde;Blandford St Mary, Dorset England;Angleterre;https://static.openfoodfacts.org/images/products/501/054/800/2171/front_en.5.400.jpg
5010548002003;Golden Glory;5.9;Badger;Wheat Beer;Bière Blonde;Blandford St Mary, Dorset England;Angleterre;https://static.openfoodfacts.org/images/products/501/054/800/2003/front_en.5.400.jpg
5010548002911;Hopping Hare;4.4;Badger;Pale Ale;Bière Aromatisée;Blandford St Mary, Dorset England;Angleterre;https://static.openfoodfacts.org/images/products/501/054/800/2911/front_en.6.400.jpg
5010548001549;Tangle Foot;5;Badger;Ale;Bière Aromatisée;Blandford St Mary, Dorset England;Angleterre;https://static.openfoodfacts.org/images/products/501/054/800/1549/front_en.9.400.jpg
4600682011606;Baltika 6 Porter;7;Baltika;Porter;Bière Brune;Saint Petersburg, Санкт-Петербург Russia;Russie;https://static.openfoodfacts.org/images/products/460/068/201/1606/front_en.3.400.jpg
4600682191476;Beer Baltika No 5;5.3;Baltika;Lager;Bière Blonde;Saint Petersburg, Санкт-Петербург Russia;Russie;https://static.openfoodfacts.org/images/products/460/068/219/1476/front_fr.3.400.jpg
4600682009450;N°9 Strong Beer;8;Baltika;Pils;Bière Blonde;Saint Petersburg, Санкт-Петербург Russia;Russie;https://static.openfoodfacts.org/images/products/460/068/200/9450/front_fr.9.400.jpg
4600682430476;Zhigulevskoye Helles Schankbier;4;Baltika;Lager;Bière Blonde;Saint Petersburg, Санкт-Петербург Russia;Russie;https://static.openfoodfacts.org/images/products/460/068/243/0476/front_de.19.400.jpg
3760199069161;Café Racer;6;Bartonn;Ale;Bière Brune;France;France;https://static.openfoodfacts.org/images/products/376/019/906/9161/front_fr.5.400.jpg
3760199069024;Ginger;6;Bartonn;Ale;Bière Rousse;France;France;https://static.openfoodfacts.org/images/products/376/019/906/9024/front_fr.5.400.jpg
5010017116415;Bass Premium Pale Ale;4.4;Bass;Pale Ale;Bière Blonde;Shamlesbury, Lancashire England;Angleterre;https://static.openfoodfacts.org/images/products/501/001/711/6415/front_en.6.400.jpg
5010039200024;Bass Pale Ale;5;Bass;Pale Ale;Bière Blonde;Shamlesbury, Lancashire England;Angleterre;https://static.openfoodfacts.org/images/products/501/003/920/0024/front_fr.16.400.jpg
8714800026956;8.6 Absinthe;8.3;Royal Swinkels Family Brewers;Wheat Beer;Bière Blonde;Lieshout, Noord-Brabant Netherlands;Pays-Bas;https://static.openfoodfacts.org/images/products/871/480/002/6956/front_fr.6.400.jpg
8714800029193;8.6 Original;8.6;Royal Swinkels Family Brewers;Lager;Bière Blonde;Lieshout, Noord-Brabant Netherlands;Pays-Bas;https://static.openfoodfacts.org/images/products/871/480/002/9193/front_fr.5.400.jpg
8714800021395;8.6 Gold;6.5;Royal Swinkels Family Brewers;Lager;Bière Blonde;Lieshout, Noord-Brabant Netherlands;Pays-Bas;
40173856;Aktien Original 1857;5.3;Bayreuther Bierbrauerei;Lager;Bière Blonde;Bayreuth, Bayern Germany;Allemagne;https://static.openfoodfacts.org/images/products/40173856/front_de.10.400.jpg
40173801;Aktien Zwickel Kellerbier;5.3;Bayreuther Bierbrauerei;Ale;Bière Ambrée;Bayreuth, Bayern Germany;Allemagne;https://static.openfoodfacts.org/images/products/40173801/front_de.6.400.jpg
40173962;Bayreuther Bio-Weisse Naturtrüb;5;Bayreuther Bierbrauerei;Lager;Bière Blanche;Bayreuth, Bayern Germany;Allemagne;https://static.openfoodfacts.org/images/products/40173962/front_de.6.400.jpg
40173894;Bayreuther Hell;4.9;Bayreuther Bierbrauerei;Lager;Bière Blonde;Bayreuth, Bayern Germany;Allemagne;
42111702;Beck'S Green Lemon;2.5;Beck's;Lager;Bière Aromatisée;Neustadt, Bremen Germany;Allemagne;https://static.openfoodfacts.org/images/products/42111702/front_de.9.400.jpg
5010549306261;Speyside Oak Aged Blonde Ale;6.5;Belhaven;Ale;Bière Blonde;Dunbar, East Lothian Scotland;Ecosse;https://static.openfoodfacts.org/images/products/501/054/930/6261/front_en.6.400.jpg
5010549306049;Twisted Thistle Ipa;5.6;Belhaven;IPA;Bière Blonde;Dunbar, East Lothian Scotland;Ecosse;https://static.openfoodfacts.org/images/products/501/054/930/6049/front_en.7.400.jpg
5010549306193;Wee Heavy;7.4;Belhaven;Ale;Bière Brune;Dunbar, East Lothian Scotland;Ecosse;https://static.openfoodfacts.org/images/products/501/054/930/6193/front_en.12.400.jpg
3770000386028;Belle De Maine Ambrée;5.5;Belle de Maine;Ale;Bière Ambrée;36 Rue des Moulins, 49080 Bouchemaine, France;France;https://static.openfoodfacts.org/images/products/377/000/038/6028/front_fr.7.400.jpg
3770000386004;Belle De Maine Blonde;5.5;Belle de Maine;Ale;Bière Blonde;37 Rue des Moulins, 49080 Bouchemaine, France;France;https://static.openfoodfacts.org/images/products/377/000/038/6004/front_fr.4.400.jpg
3770000386134;Belle De Maine Éphémère Blonde Hibiscus;5;Belle de Maine;Ale;Bière Blonde;38 Rue des Moulins, 49080 Bouchemaine, France;France;https://static.openfoodfacts.org/images/products/377/000/038/6134/front_fr.4.400.jpg
3770000386035;Belle De Maine Triple;7;Belle de Maine;Ale;Bière Blonde;39 Rue des Moulins, 49080 Bouchemaine, France;France;https://static.openfoodfacts.org/images/products/377/000/038/6035/front_fr.4.400.jpg
3258561310091;Baltus Bière Blonde De Luxe;4.5;Belle France;Lager;Bière Blonde;France;France;https://static.openfoodfacts.org/images/products/325/856/131/0091/front_fr.6.400.jpg
3347970011061;Belzebuth Blonde;8.5;Brasserie Goudale - Les Brasseurs de Gayant;American Pale Ale;Bière Blonde;Arques, Hauts-de-France France;France;
